'CardName', 'Timespan', 'Edition', 'Current Price', 'Minimum in Epoch', 'Date of Epoch Min', 'Percent change Current Price from Epoch Min', 'Standard Dev'
Tropical Island,ALL_TIME,2ED,1759.99,127.9,2012-06-09 19:00:00,1276.07,351.359
Tropical Island,ONE_MONTH,LEA,6000.0,6000.0,2021-06-09 01:14:51,0.0,0.0
Tropical Island,THREE_MONTHS,LEA,6000.0,6000.0,2021-04-10 01:15:30,0.0,0.0
Tropical Island,ONE_YEAR,LEA,6000.0,2000.0,2020-07-24 01:16:07,200.0,944.255
Tropical Island,TWO_YEARS,LEA,6000.0,2000.0,2020-07-24 01:16:07,200.0,644.167
Tropical Island,ALL_TIME,LEA,6000.0,799.99,2013-06-05 19:00:00,650.01,1436.242
Tropical Island,ONE_MONTH,LEB,3999.0,3999.0,2021-06-09 01:14:50,0.0,0.0
Tropical Island,THREE_MONTHS,LEB,3999.0,3999.0,2021-04-10 01:15:31,0.0,0.0
Tropical Island,ONE_YEAR,LEB,3999.0,3195.95,2020-07-30 01:15:18,25.13,277.704
Tropical Island,TWO_YEARS,LEB,3999.0,2599.99,2019-11-26 01:15:16,53.81,464.376
Tropical Island,ALL_TIME,LEB,3999.0,1.0,2012-06-09 19:00:00,399800.0,1008.623
Tropical Island,ONE_MONTH,3ED,793.0,771.5,2021-07-01 01:15:59,2.79,10.488
Tropical Island,THREE_MONTHS,3ED,793.0,771.5,2021-07-01 01:15:59,2.79,38.214
Tropical Island,ONE_YEAR,3ED,793.0,389.0,2020-07-12 01:15:15,103.86,210.708
Tropical Island,TWO_YEARS,3ED,793.0,268.88,2019-10-25 01:16:08,194.93,247.453
Tropical Island,ALL_TIME,3ED,793.0,95.7,2012-07-01 19:00:00,728.63,182.254
Tropical Island,ONE_MONTH,3ED,793.0,771.5,2021-07-01 01:15:59,2.79,10.488
Tropical Island,THREE_MONTHS,3ED,793.0,771.5,2021-07-01 01:15:59,2.79,38.214
Tropical Island,ONE_YEAR,3ED,793.0,389.0,2020-07-12 01:15:15,103.86,210.708
Tropical Island,TWO_YEARS,3ED,793.0,268.88,2019-10-25 01:16:08,194.93,247.453
Tropical Island,ALL_TIME,3ED,793.0,95.7,2012-07-01 19:00:00,728.63,182.254
Tropical Island,ONE_MONTH,3ED,793.0,771.5,2021-07-01 01:15:59,2.79,10.488
Tropical Island,THREE_MONTHS,3ED,793.0,771.5,2021-07-01 01:15:59,2.79,38.214
Tropical Island,ONE_YEAR,3ED,793.0,389.0,2020-07-12 01:15:15,103.86,210.708
Tropical Island,TWO_YEARS,3ED,793.0,268.88,2019-10-25 01:16:08,194.93,247.453
Tropical Island,ALL_TIME,3ED,793.0,95.7,2012-07-01 19:00:00,728.63,182.254
Tropical Island,ONE_MONTH,3ED,793.0,771.5,2021-07-01 01:15:59,2.79,10.488
Tropical Island,THREE_MONTHS,3ED,793.0,771.5,2021-07-01 01:15:59,2.79,38.214
Tropical Island,ONE_YEAR,3ED,793.0,389.0,2020-07-12 01:15:15,103.86,210.708
Tropical Island,TWO_YEARS,3ED,793.0,268.88,2019-10-25 01:16:08,194.93,247.453
Tropical Island,ALL_TIME,3ED,793.0,95.7,2012-07-01 19:00:00,728.63,182.254
Mox Diamond,ONE_MONTH,STH,625.0,623.51,2021-06-29 01:15:33,0.24,3.059
Mox Diamond,THREE_MONTHS,STH,625.0,623.51,2021-06-29 01:15:33,0.24,30.73
Mox Diamond,ONE_YEAR,STH,625.0,371.22,2020-07-09 01:10:47,68.36,93.004
Mox Diamond,TWO_YEARS,STH,625.0,251.49,2019-10-25 01:09:56,148.52,179.36
Mox Diamond,ALL_TIME,STH,625.0,25.5,2013-12-16 18:00:00,2350.98,184.501
Mox Diamond,ALL_TIME,V10,36.55,28.47,2013-12-09 18:00:00,28.38,2.451
Lion's Eye Diamond,ONE_MONTH,MIR,599.48,599.48,2021-07-02 01:16:19,0.0,21.256
Lion's Eye Diamond,THREE_MONTHS,MIR,599.48,599.48,2021-07-02 01:16:19,0.0,34.94
Lion's Eye Diamond,ONE_YEAR,MIR,599.48,300.0,2020-08-04 01:14:23,99.83,161.876
Lion's Eye Diamond,TWO_YEARS,MIR,599.48,194.89,2019-11-18 01:12:43,207.6,177.501
Lion's Eye Diamond,ALL_TIME,MIR,599.48,60.09,2012-06-11 19:00:00,897.64,138.504
Bayou,ONE_YEAR,LEA,3299.99,1600.0,2020-07-21 01:17:11,106.25,261.298
Bayou,TWO_YEARS,LEA,3299.99,1600.0,2020-07-21 01:17:11,106.25,224.785
Bayou,ALL_TIME,LEA,3299.99,882.73,2012-08-07 19:00:00,273.84,573.512
Bayou,ONE_MONTH,LEB,1600.0,1600.0,2021-06-14 01:15:18,0.0,0.0
Bayou,THREE_MONTHS,LEB,1600.0,1600.0,2021-06-14 01:15:18,0.0,0.0
Bayou,ONE_YEAR,LEB,1600.0,1349.98,2020-10-17 01:16:16,18.52,189.194
Bayou,TWO_YEARS,LEB,1600.0,1349.98,2020-10-17 01:16:16,18.52,185.875
Bayou,ALL_TIME,LEB,1600.0,552.64,2013-07-01 19:00:00,189.52,601.529
Bayou,ONE_MONTH,LEB,1600.0,1600.0,2021-06-14 01:15:18,0.0,0.0
Bayou,THREE_MONTHS,LEB,1600.0,1600.0,2021-06-14 01:15:18,0.0,0.0
Bayou,ONE_YEAR,LEB,1600.0,1349.98,2020-10-17 01:16:16,18.52,189.194
Bayou,TWO_YEARS,LEB,1600.0,1349.98,2020-10-17 01:16:16,18.52,185.875
Bayou,ALL_TIME,LEB,1600.0,552.64,2013-07-01 19:00:00,189.52,601.529
Bayou,ONE_MONTH,3ED,549.99,544.95,2021-06-10 01:15:15,0.92,1.027
Bayou,THREE_MONTHS,3ED,549.99,544.95,2021-06-10 01:15:15,0.92,32.15
Bayou,ONE_YEAR,3ED,549.99,339.98,2020-07-15 01:15:40,61.77,83.169
Bayou,TWO_YEARS,3ED,549.99,254.13,2019-12-22 01:14:25,116.42,118.229
Bayou,ALL_TIME,3ED,549.99,65.53,2012-06-21 19:00:00,739.29,123.487
Bayou,ONE_MONTH,3ED,549.99,544.95,2021-06-10 01:15:15,0.92,1.027
Bayou,THREE_MONTHS,3ED,549.99,544.95,2021-06-10 01:15:15,0.92,32.15
Bayou,ONE_YEAR,3ED,549.99,339.98,2020-07-15 01:15:40,61.77,83.169
Bayou,TWO_YEARS,3ED,549.99,254.13,2019-12-22 01:14:25,116.42,118.229
Bayou,ALL_TIME,3ED,549.99,65.53,2012-06-21 19:00:00,739.29,123.487
Bayou,ONE_MONTH,2ED,995.0,995.0,2021-07-02 01:16:43,0.0,33.663
Bayou,THREE_MONTHS,2ED,995.0,995.0,2021-07-02 01:16:43,0.0,63.11
Bayou,ONE_YEAR,2ED,995.0,500.0,2020-07-09 01:17:00,99.0,234.977
Bayou,TWO_YEARS,2ED,995.0,494.99,2020-02-13 01:13:53,101.01,218.282
Bayou,ALL_TIME,2ED,995.0,90.99,2012-10-12 19:00:00,993.53,381.034
Bayou,ONE_MONTH,2ED,995.0,995.0,2021-07-02 01:16:43,0.0,33.663
Bayou,THREE_MONTHS,2ED,995.0,995.0,2021-07-02 01:16:43,0.0,63.11
Bayou,ONE_YEAR,2ED,995.0,500.0,2020-07-09 01:17:00,99.0,234.977
Bayou,TWO_YEARS,2ED,995.0,494.99,2020-02-13 01:13:53,101.01,218.282
Bayou,ALL_TIME,2ED,995.0,90.99,2012-10-12 19:00:00,993.53,381.034
Badlands,ONE_MONTH,3ED,499.85,499.49,2021-06-23 01:16:14,0.07,5.713
Badlands,THREE_MONTHS,3ED,499.85,499.49,2021-06-23 01:16:14,0.07,40.511
Badlands,ONE_YEAR,3ED,499.85,296.99,2020-07-12 01:15:21,68.31,131.795
Badlands,TWO_YEARS,3ED,499.85,200.0,2020-02-12 01:14:25,149.93,138.577
Badlands,ALL_TIME,3ED,499.85,46.88,2012-08-21 19:00:00,966.23,129.252
Badlands,ONE_MONTH,2ED,703.3,691.6,2021-06-09 01:14:47,1.69,3.953
Badlands,THREE_MONTHS,2ED,703.3,559.95,2021-04-10 01:15:26,25.6,112.905
Badlands,ONE_YEAR,2ED,703.3,445.0,2020-07-09 01:16:55,58.04,104.111
Badlands,TWO_YEARS,2ED,703.3,429.22,2020-05-13 01:14:08,63.86,106.455
Badlands,ALL_TIME,2ED,703.3,76.05,2013-04-03 19:00:00,824.79,211.638
Badlands,ONE_MONTH,2ED,703.3,691.6,2021-06-09 01:14:47,1.69,3.953
Badlands,THREE_MONTHS,2ED,703.3,559.95,2021-04-10 01:15:26,25.6,112.905
Badlands,ONE_YEAR,2ED,703.3,445.0,2020-07-09 01:16:55,58.04,104.111
Badlands,TWO_YEARS,2ED,703.3,429.22,2020-05-13 01:14:08,63.86,106.455
Badlands,ALL_TIME,2ED,703.3,76.05,2013-04-03 19:00:00,824.79,211.638
Badlands,ONE_MONTH,LEA,4699.5,4699.5,2021-06-29 01:16:07,0.0,114.018
Badlands,THREE_MONTHS,LEA,4699.5,4699.5,2021-06-29 01:16:07,0.0,64.164
Badlands,ONE_YEAR,LEA,4699.5,1600.0,2020-07-21 01:17:14,193.72,1399.726
Badlands,TWO_YEARS,LEA,4699.5,1600.0,2020-07-21 01:17:14,193.72,1175.936
Badlands,ALL_TIME,LEA,4699.5,500.0,2013-02-11 18:00:00,839.9,1173.763
Badlands,ONE_MONTH,LEA,4699.5,4699.5,2021-06-29 01:16:07,0.0,114.018
Badlands,THREE_MONTHS,LEA,4699.5,4699.5,2021-06-29 01:16:07,0.0,64.164
Badlands,ONE_YEAR,LEA,4699.5,1600.0,2020-07-21 01:17:14,193.72,1399.726
Badlands,TWO_YEARS,LEA,4699.5,1600.0,2020-07-21 01:17:14,193.72,1175.936
Badlands,ALL_TIME,LEA,4699.5,500.0,2013-02-11 18:00:00,839.9,1173.763
Badlands,ONE_MONTH,LEA,4699.5,4699.5,2021-06-29 01:16:07,0.0,114.018
Badlands,THREE_MONTHS,LEA,4699.5,4699.5,2021-06-29 01:16:07,0.0,64.164
Badlands,ONE_YEAR,LEA,4699.5,1600.0,2020-07-21 01:17:14,193.72,1399.726
Badlands,TWO_YEARS,LEA,4699.5,1600.0,2020-07-21 01:17:14,193.72,1175.936
Badlands,ALL_TIME,LEA,4699.5,500.0,2013-02-11 18:00:00,839.9,1173.763
Badlands,ONE_MONTH,LEB,1975.0,1975.0,2021-06-14 01:15:18,0.0,0.0
